Img Name,caption_train,baseline_pred,finetuned_pred
1523.jpg,"The picture shows six portraits of adult men and women, faces showing different expressions, some smiling.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
The image features six individuals, each with distinct hairstyles and clothing styles, arranged in two rows of three.","The image shows a grid of six photographs featuring various individuals, including men and women, with some smiling outdoors and others indoors."
1000.jpg,"An aerial image shows a large sandy beach full of liners. Hundreds of people are on the sand, with solar parachutes and beach chairs spreading, while others swim in the net blue waters extending along the coast.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A crowded beach with numerous people enjoying the sun and water, surrounded by blue umbrellas and lounge chairs.","A crowded beach with numerous people enjoying the clear blue waters and sandy shore, with umbrellas and lounge chairs scattered across the scene."
1102.jpg,"The image shows a man in a wheelchair outdoors, surrounded by scattered belongings and other people in a dusty, open area with tents visible in the background. Large text overlays the scene, discussing ""ISRAEL'S WAR ON GAZA"" and statistics, including a prominent ""83%"".","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A man in a wheelchair sits amidst scattered belongings, with text highlighting the significant impact of Israel's war on Gaza on people with disabilities, including those who have lost assistive devices and require ongoing rehabilitation services.","A man in a wheelchair sits amidst scattered personal belongings and makeshift shelters on a dusty ground. The image includes text stating that more than 83% of people with disabilities in Gaza have lost their assistive devices, and 25%"
747.jpg,"At a gathering, people hold signs, one displaying multiple photos of young women with Hebrew text and another prominently featuring ""SEAL THE DEAL"" in large white letters. A blue and white flag is visible in the background.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A protest scene with signs including ""Seal the Deal"" and images of people, with a BBC News logo at the bottom.","A crowd of people holds up signs, including a prominent one that says ""SEAL THE DEAL"" with other signs displaying pictures of individuals and Hebrew text."
1332.jpg,"The image displays a man in a suit, speaking with his mouth open and right hand raised, against a blurred background of an audience and a microphone. A dark blue text overlay at the bottom features the name ""a public official"" and the quote: ""\""Shooting of Gaza aid seekers 'grotesque' and 'sick'\"""", along with an Arabic.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A man in a suit is speaking passionately in a parliamentary setting, with the text ""Shooting of Gaza aid seekers 'grotesque' and 'sick'"" displayed below him.","A man in a dark suit and tie speaks with his mouth open and hand raised, while other people are seated behind him in what appears to be a formal setting."
1426.jpg,"The picture shows children standing or sitting behind a metal barrier, carrying different metal vessels. One of them looks clearly, while another leans over a bowl, and a third child stretches his hand.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A group of children, including a young boy drinking from a can, are behind a railing, with Arabic text at the bottom.","A group of children, including a young boy with a distressed expression, are seen through a metal barrier, with some holding metal containers. Water flows from the containers into the children's hands."
1155.jpg,Several men carry a body wrapped in a patterned blanket through an area with destroyed buildings and rubble.,"system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A man stands over a covered body with the text ""LIVE UPDATES ISRAEL'S WAR ON GAZA"" at the bottom.","A man with a beard and a white shirt carries a covered body on a stretcher, surrounded by other men and debris in a heavily damaged urban area."
8.jpg,"Soldiers in military gear walk through a sandy, disturbed landscape, with a damaged building and heavy machinery visible in the background under a clear sky.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
Three soldiers walk through a sandy area with a damaged building in the background.",Three soldiers wearing helmets and carrying rifles walk through a sandy area with heavily damaged buildings in the background.
1204.jpg,"The picture shows a group of children and adults brawling with their hands and metal vessels, and some of the children's faces show signs of deep crying and despair.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A group of people, including children, are reaching into metal bowls to grab food.","A group of people, including children and adults, are gathered around large metal pots. Several individuals are visibly crying and reaching out with their hands, while others hold up empty pots."
1373.jpg,"The image shows a partial screenshot of an online article discussing a professor withdrawing a course at Columbia University due to policies and a new definition of antisemitism. Below the article text, a large gathering of people, many wearing academic caps and gowns, is visible in front of a classical-style building.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A newspaper article by Rashid Khalidi discussing his decision to withdraw from a fall course at Columbia University due to its policies related to Trump.","The picture shows a large crowd of people wearing blue caps and gowns, gathered on a wide open space with a large building in the background."
726.jpg,"A man with light hair and visible facial marks holds up two official-looking documents in front of a textured wall. He is wearing a light-colored t-shirt with ""Dior"" printed on it.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A man holds up two documents with Arabic text, one of which has the brand name ""Christian Dior"" visible on his shirt.","A man with a visibly injured face holds two documents with Arabic text, one of which appears to be a birth certificate. He wears a light-colored shirt with ""Christian Dior"" printed on it."
1709.jpg,"A crowd of men and young people are gathered around two bodies wrapped in white shrouds on stretchers. One man is seen leaning over a body partly covered by a green EMS vest and a flag displaying green, white, black, and red stripes, in an area with damaged buildings visible in the background.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A group of people, including men and children, gather around a person lying on a stretcher covered with a green and white flag, with some holding their heads in their hands.","A large crowd of men, many with tears in their eyes, gather around a stretcher carrying a person wrapped in a green and white flag. The flag displays a red cross and a medical symbol."
1200.jpg,"The picture shows a group of men, some in uniform, standing next to a small wooden booth, surrounding the scene with a white and red tape, and someone on the ground showing up near the booth.","system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A group of police officers are investigating an incident at a bus stop, with a tape cordoning off the area.","A group of police officers, including one with a firearm, are gathered around a person kneeling on the ground near a wooden structure. A white tape with Hebrew text is visible, cordoning off the area."
554.jpg,A man smiles while taking a selfie with a group of children gathered outdoors behind him. Most of the children are smiling and some are waving or making hand gestures.,"system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
A man takes a selfie with a group of children at an outdoor table, all smiling and waving.","A man smiles at the camera while standing outdoors with a group of children around him. The children appear happy, waving their hands, and some are seated on a table covered with a white cloth."
1380.jpg,The picture shows from the top a crowd of people involved in burying bodies wrapped in white coffins in open grave rows. The site looks like a mass grave full of people and graves.,"system
You are a cautious image captioning system. Write ONE concise English caption grounded only in visible content. Be neutral and conflict-aware. Avoid naming specific individuals. Do not celebrate violence. Do not infer causes, blame, or unverified claims. If a media overlay/logo/text is visible, mention it briefly without focusing on it.
user
Describe this image in one sentence.
assistant
An aerial view of a group of people gathered around a coffin, with some standing and others kneeling, possibly at a funeral or memorial service.","An aerial view shows a group of people gathered around a large white object on the ground, with some individuals standing and others kneeling nearby."
